title	year	format	source	imdb_id
2081	2009	NA	Loftet 07	tt1282015
300	2006	DVD	Loftet 01	tt0416449
A Boy and His Dog	1975	NA	Loftet 07	tt0072730
A Bug's Life	1998	DVD	Loftet 04	tt0120623
A Chorus Line	1985	DVD	Loftet 04	tt0088915
A Fish Called Wanda	1988	NA	Loftet 07	tt0095159
A Midsummer Night's Sex Comedy	1982	NA	Loftet 07	tt0084329
A Scanner Darkly	2006	NA	Loftet 07	tt0405296
A.I. Artificial Intelligence	2001	DVD	Loftet 02	tt0212720
Abduction	2011	NA	Loftet 07	tt1600195
After Sex	2007	NA	Loftet 07	tt0465375
Aladdin	1992	DVD	Loftet 06	tt0103639
Alice	1990	NA	Loftet 07	tt0099012
Alice in Wonderland	1951	DVD	Loftet 06	tt0043274
Annie	1982	DVD	Loftet 04	tt0083564
Annie Get Your Gun	1950	DVD	Loftet 04	tt0042200
Annie Hall	1977	NA	Loftet 07	tt0075686
Another Earth	2011	NA	Loftet 07	tt1549572
Another Woman	1988	NA	Loftet 07	tt0094663
Asterix and the Vikings	2006	DVD	Loftet 01	tt0371552
Asterix at the Olympic Games	2008	DVD	Loftet 01	tt0463872
Atlantis: The Lost Empire	2001	DVD	Loftet 06	tt0230011
Attack the Block	2011	NA	Loftet 07	tt1478964
Australia	2008	NA	Loftet 07	tt0455824
Avalon	2001	NA	Loftet 07	tt0267287
Babylon 5: In the Beginning	1998		Loftet 02	tt0120711
Babylon A.D.	2008	NA	Loftet 07	tt0364970
Bagdad Cafe	1987	DVD	Loftet 05	tt0095801
Bambi	1942	DVD	Loftet 06	tt0034492
Bananas	1971	NA	Loftet 07	tt0066808
Barbarella	1968	NA	Loftet 07	tt0062711
Battlestar Galactica	2003	DVD	Loftet 02	tt0314979
Battlestar Galactica	2003	Blu-ray	Loftet 02	tt0314979
Battlestar Galactica: Razor	2007	Blu-ray	Loftet 02	tt0991178
Beauty and the Beast	1991	DVD	Loftet 06	tt0101414
Blade	1998	DVD	Loftet 01	tt0120611
Blade Runner	1982	DVD	Loftet 02	tt0083658
Blade Runner 2049	2017	Blu-ray	Loftet 02	tt1856101
Blade: The Series	2006	DVD	Loftet 01	tt0823333
Blazing Saddles	1974	NA	Loftet 07	tt0071230
Blindness	2008	NA	Loftet 07	tt0861689
Bram Stoker's Dracula	1992	DVD	Loftet 01	tt0103874
Brave	2012	Blu-ray	Loftet 06	tt1217209
Bring It On	2000	NA	Loftet 07	tt0204946
Bring It On: Again	2004	NA	Loftet 07	tt0334965
Bring It On: All or Nothing	2006	NA	Loftet 07	tt0490822
Broadway Danny Rose	1984	NA	Loftet 07	tt0087003
Brother Bear	2003	DVD	Loftet 06	tt0328880
Cabaret	1972	DVD	Loftet 04	tt0068327
Can't Hardly Wait	1998	NA	Loftet 07	tt0127723
Captain America: The First Avenger	2011	Blu-ray	Loftet 01	tt0458339
Casablanca	1942	DVD	Loftet 04	tt0034583
Cherry 2000	1987	NA	Loftet 07	tt0092746
Chicago	2002	DVD	Loftet 04	tt0299658
Chicken Little	2005	DVD	Loftet 06	tt0371606
Cinderella	1950	DVD	Loftet 06	tt0042332
Circumstance	2011	NA	Loftet 07	tt1684628
City of God	2002	DVD	Loftet 05	tt0317248
Close Encounters of the Third Kind	1977	NA	Loftet 07	tt0075860
