Title	Release Date	Genres	Runtime	Director	Format	Distributor	Added Date
Bagdad Cafe	1987	Comedy | Drama	01:35	Percy Adlon	DVD		Jan 28, 2025
City of God	2002	Crime | Drama	02:10	Fernando Meirelles | Kátia Lund	DVD		Jan 28, 2025
Curse of the Golden Flower	2006	Action | Drama | Romance	01:54	Yimou Zhang	DVD		Jan 28, 2025
The Decalogue	1989	Drama	09:39	Krzysztof Kieslowski	DVD		Jan 28, 2025
Det Beste Av Espen Eckbo			00:00		DVD		Jan 28, 2025
The Devil Wears Prada	2006	Comedy | Drama	01:49	David Frankel	DVD		Jan 28, 2025
La double vie de Véronique	1991	Drama | Fantasy | Music | Mystery | Romance	01:38	Krzysztof Kieslowski	DVD		Jan 28, 2025
Eternal Sunshine of the Spotless Mind	2004	Drama | Romance | Science Fiction	01:48	Michel Gondry	DVD		Jan 28, 2025
Eternal Sunshine of the Spotless Mind	2004	Drama | Romance | Science Fiction	01:48	Michel Gondry	DVD		Jan 28, 2025
Even Dwarfs Started Small	1970	Comedy | Drama	01:36	Werner Herzog	Blu-ray		Jan 28, 2025
Herz aus Glas	1976	Drama	01:34	Werner Herzog	DVD		Jan 28, 2025
House of Angels	1992	Comedy | Drama	02:07	Colin Nutley	DVD		Jan 28, 2025
House of Flying Daggers	2004	Action | Adventure | Drama | Romance	01:59	Yimou Zhang	DVD		Jan 28, 2025
Jakten På Hukommelsen	2009	Adventure | Biography | Documentary	01:20	Thomas Lien	DVD		Jan 28, 2025
Jurassic Park	1993	Action | Adventure | Science Fiction | Thriller	02:07	Steven Spielberg	DVD		Jan 28, 2025
The Lost World: Jurassic Park	1997	Action | Adventure | Science Fiction	02:09	Steven Spielberg	DVD		Jan 28, 2025
Killer's Kiss	1955	Crime | Drama | Film Noir | Thriller	01:07	Stanley Kubrick	DVD		Jan 28, 2025
The Killing	1956	Crime | Drama | Film Noir | Thriller	01:24	Stanley Kubrick	DVD		Jan 28, 2025
Laberinto de pasiones	1982	Comedy | Drama | Romance	01:40	Pedro Almodóvar	DVD		Jan 28, 2025
Lady Vengeance	2005	Crime | Drama | Thriller	01:55	Chan-wook Park	DVD		Jan 28, 2025
The Life Aquatic with Steve Zissou	2004	Action | Adventure | Comedy | Drama | Romance	01:59	Wes Anderson			Jan 28, 2025
Life is beautiful	1997	Comedy | Drama | Romance | War	01:56	Roberto Benigni	DVD		Jan 28, 2025
Memoirs of a Geisha	2005	Drama | Romance	02:25	Rob Marshall	DVD		Jan 28, 2025
Monsoon Wedding	2001	Comedy | Drama | Romance	01:54	Mira Nair	DVD		Jan 28, 2025
My Big Fat Greek Wedding	2002	Comedy | Drama | Romance	01:35	Joel Zwick	DVD		Jan 28, 2025
My Life as a Dog	1985	Comedy | Drama	01:41	Lasse Hallstrom	DVD		Jan 28, 2025
Oldboy	2003	Action | Drama | Mystery | Thriller	02:00	Chan-wook Park	DVD		Jan 28, 2025
Oliver Twist	1999	Crime | Drama	06:26	Renny Rye	DVD		Jan 28, 2025
Paths of Glory	1957	Drama | War	01:28	Stanley Kubrick	DVD		Jan 28, 2025
Pirates of the Caribbean: The Curse of the Black Pearl	2003	Action | Adventure | Fantasy	02:23	Gore Verbinski	DVD		Jan 28, 2025
Slumdog Millionaire	2008	Crime | Drama | Romance	02:00	Danny Boyle | Loveleen Tandan	DVD		Jan 28, 2025
Sympathy for Mr. Vengeance	2002	Crime | Drama | Thriller	02:09	Chan-wook Park	DVD		Jan 28, 2025
Three... Extremes	2004	Horror	01:58	Fruit Chan | Takashi Miike | Chan-wook Park	DVD		Jan 28, 2025
Tori Amos: Sorta Fairytale	2003	Music	00:25	Sanji	DVD		Jan 28, 2025
Tori Amos: Video Collection: Fade To Red	2006	Music	01:43		DVD		Jan 28, 2025
Typisk Norsk: Season 1	2004	Comedy | Documentary	00:00		DVD		Jan 28, 2025
What Dreams May Come	1998	Drama | Fantasy | Romance	01:53	Vincent Ward	DVD		Jan 28, 2025
